"","GSM4106225_1","GSM4106226_2","GSM4106227_3","GSM4106228_4","GSM4106229_5","GSM4106230_6","GSM4106231_7","GSM4106232_8","GSM4106233_9"
"17219670",6.7985176854008,6.25352006966859,6.70133227867065,7.17564592588459,5.97021258521396,6.51563194519233,7.29204013920666,6.1534825958543,6.70133227867065
"17390614",5.87341973338212,5.25517397757226,5.36758285381617,6.04364227469862,4.87025509182614,4.99326755225507,5.6413343881093,5.03128836698098,5.69991842268344
"17330168",2.81910683355916,2.56722419738301,2.73230739813582,3.00044943574548,3.30432702877538,3.11456521786066,2.62804970113933,3.08511908334472,2.80844989610868
"17538477",4.30922963464864,4.05499055622932,3.80584667883769,4.75819924945294,3.73617885029792,3.74439279370895,4.27508676857982,3.73338675707686,3.65434953791955
"17502260",6.17356536512799,6.56988476126171,6.636549604884,6.06684914629024,6.77284081497552,6.62622094527873,6.0694864019374,6.92705064820643,6.03745459771522
"17333373",4.47040735274299,4.88897472966962,4.44258489507185,4.4332816295971,4.8305498082461,5.14515334676643,4.66779350345361,4.66779350345361,4.61729011525031
"17476599",6.10556414927463,5.76512776797348,5.56255875178163,6.11956988976885,5.95121356075428,5.97895094597299,5.82907834625896,5.11774687916989,5.3356861952318
"17288269",4.24160310466165,3.31483755319146,4.40638745077904,4.2023492521871,4.48495639447274,5.03764768613471,3.84172353023036,5.01927372019162,3.51945985856394
"17527465",3.15035326336497,3.793083681202,3.64614883400786,3.32191803594046,3.72894433888077,3.36248879809329,3.15056015092195,3.33939010270401,3.63154260659488
"17326834",3.89277419446015,4.0067280084109,4.93278122889444,4.4604301216436,4.51206893762343,4.19282389187608,3.85071303144725,4.19282389187608,4.19282389187608
"17228960",3.28871552023368,3.41875324730837,3.66046363190843,3.07511875583936,3.69988246859759,3.51369837943783,3.53017648453598,3.10318521165421,3.30150005661672
"17240819",3.90835634591844,3.93797379073742,3.83562606968949,3.4765596773347,3.96338928845193,4.03984840029814,4.13826392207287,3.90835634591844,3.22163043889343
"17308946",4.00991406693633,3.90713882055981,3.80410229729305,3.75766931082364,3.00994106522413,3.51784283565341,3.71109578107356,3.75497325692837,3.41805014507663
"17522280",4.92842500722831,4.72598274735694,4.06736269730289,4.77678814815567,4.87540349489629,5.05801004281631,5.07326597176956,4.39317793206021,4.65615368149497
"17300181",6.87445182554682,6.52654759719424,7.46423524655389,8.02131156467675,7.28297383968437,7.96647887060397,7.7686753657375,7.69086561955342,7.44880625784737
"17446458",3.68982459263349,4.17468797187532,4.13697247261414,4.08251956210549,4.04931386081523,3.76703803552526,3.96468023237568,3.53412680377337,4.06283008860428
"17424452",4.42613688347338,4.36826929308525,4.24405440184191,4.5834824902568,4.77265239033152,4.0101490775999,4.20519624910835,3.95498871765824,4.40809854188064
"17275234",3.02984359515712,3.36777475991842,3.39121363741501,3.31106433004758,3.20121538099454,3.07999372599832,2.94407255681435,2.90191998221861,2.76261196627422
"17277685",2.47907063206257,2.47686187974991,2.66382733992131,2.9713126544824,2.96929122386664,2.94196827012643,2.89320106138645,2.31703149361082,2.52338647085586
"17380518",7.67931307309369,7.21350930106703,7.02848275673904,7.4667585905697,6.73997465531064,7.44486522192989,7.32772767950662,7.23868395902271,6.92941504915773
"17479913",4.98588473121092,5.2206838824194,4.98936489444934,4.5130134217059,4.68442151857532,4.98100101109509,4.95504204744865,5.09358178554778,5.09863965436917
"17464248",5.43639838966583,6.39927867648549,6.98727169572425,6.44155557616859,6.22390441787901,6.23514407193811,5.9960129289857,6.63138268758812,6.70988578216239
"17520116",4.57675892452743,4.48923866002363,4.87748877072811,4.62808635005886,5.07073502463934,5.03393765954648,5.35331885243517,3.95317616961632,4.69207370714719
"17289382",3.66621467722618,3.86449350624596,3.72909415779932,3.36416655942433,3.81745667440065,3.89399510329628,3.72909415779932,3.43533585349336,3.72909415779932
"17214910",4.51801686235143,5.06418508504805,5.13288245659132,4.2366948559361,4.22410353380363,4.63520398346996,4.82306766972548,4.88060769269732,4.05726702217692
"17444851",5.46470326247562,5.02549749261005,4.82881593475566,5.0823923624263,5.13032318160463,4.660466083724,4.63493189878139,4.70611307422948,4.90360003456552
"17534197",4.43688804732575,4.55278031257622,4.27178608511441,4.53304517618482,4.00138736886415,3.89527497938911,4.27178608511441,4.27178608511441,4.27178608511441
"17413054",4.88173453505195,5.13194956525958,5.52528160629642,5.80660564107457,4.89977096700882,4.80160936379478,5.47891678644163,5.54337312507944,4.37180343216049
"17534213",4.97997987269351,4.61389694554324,5.13870979243884,4.77302577068889,4.87260200528972,5.04222112103163,5.17142805517814,4.5837836533671,5.5345327577046
"17357211",5.43479231169045,5.56042425358983,5.18352382341812,5.59049493224864,5.32904114689656,5.01957087720958,5.32765984814561,5.19030773195662,4.50494880483196
"17418724",6.65852976746121,5.87643282489555,6.33962085553724,6.71791411533967,6.38916991099519,6.44832880061003,6.58105714051323,5.71485167229381,6.43259522055008
"17269220",2.77597681466551,2.71882885075124,2.90190748708944,3.32214765920029,2.33263918994302,2.53529655767756,2.91609188755048,2.02324699906184,2.83335257465884
"17230067",9.71490725571156,9.37897753960943,9.15563306039813,9.87614571122792,8.86738415023516,9.37884255370355,9.99655484385669,8.97609511021086,9.46658373854413
"17340584",5.6963436975294,6.0029014723233,5.14442051018158,5.97139298797582,6.35692816713301,6.2675588321079,6.56418808666312,6.00714367196302,5.46587218089263
"17340599",6.70375111706583,6.92700743424845,6.89479847884421,6.81270700333089,7.29936743977143,7.44427423262587,6.2848076530202,6.91463196453317,7.37780781977751
